"","left","top","right","bottom","id","Hg","cellIdNew","cover","climate"
"22",3289999.99979807,1847999.99992613,3291999.99979807,1845999.99992613,746522,1,22,-0.701791686801651,0.730613103992831
"23",3289999.99979807,1845999.99992613,3291999.99979807,1843999.99992613,746523,1,23,-0.842479324275528,0.734283113117199
"24",3289999.99979807,1843999.99992613,3291999.99979807,1841999.99992613,746524,1,24,-0.887720927587175,0.758367712398031
"25",3291999.99979807,1853999.99992613,3293999.99979807,1851999.99992613,748775,1,25,-1.59810620765996,0.92299679643675
"26",3291999.99979807,1851999.99992613,3293999.99979807,1849999.99992613,748776,1,26,-1.56284790694255,0.8166465057294
"27",3291999.99979807,1849999.99992613,3293999.99979807,1847999.99992613,748777,1,27,-0.81455238725139,0.763484282309099
"28",3291999.99979807,1847999.99992613,3293999.99979807,1845999.99992613,748778,1,28,-0.617830911703536,0.748234777736486
"29",3291999.99979807,1845999.99992613,3293999.99979807,1843999.99992613,748779,1,29,-0.805623460636541,0.728235241988766
"30",3293999.99979807,1861999.99992613,3295999.99979807,1859999.99992613,751027,1,30,0.455979047890067,0.85128703265863
"31",3293999.99979807,1857999.99992613,3295999.99979807,1855999.99992613,751029,1,31,-1.37479973702165,0.929759529279931
"32",3293999.99979807,1855999.99992613,3295999.99979807,1853999.99992613,751030,1,32,-1.04049377006623,0.930905403412442
"33",3293999.99979807,1853999.99992613,3295999.99979807,1851999.99992613,751031,1,33,-1.74224796671088,0.807841715151321
"34",3293999.99979807,1847999.99992613,3295999.99979807,1845999.99992613,751034,1,34,-1.57246521363176,0.782887975258686
"35",3295999.99979807,1859999.99992613,3297999.99979807,1857999.99992613,753284,1,35,-0.976783984269967,0.857393951277185
"36",3295999.99979807,1855999.99992613,3297999.99979807,1853999.99992613,753286,1,36,-1.80948024026017,0.870484795404328
"37",3295999.99979807,1843999.99992613,3297999.99979807,1841999.99992613,753292,1,37,-1.65453769591622,0.753944063159199
"38",3299999.99979807,1861999.99992613,3301999.99979807,1859999.99992613,757795,1,38,0.795792875277307,0.95533587283982
"39",3299999.99979807,1851999.99992613,3301999.99979807,1849999.99992613,757800,1,39,-1.81822668304031,0.760330976121845
"40",3301999.99979807,1849999.99992613,3303999.99979807,1847999.99992613,760057,1,40,-1.91973405622531,0.644383102246307
"41",3305999.99979807,1855999.99992613,3307999.99979807,1853999.99992613,764566,1,41,-0.775799089585178,0.661999244886748
"42",3269999.99979807,1817999.99992613,3271999.99979807,1815999.99992613,723977,2,42,0.130461658707133,0.002675607717679
"43",3269999.99979807,1815999.99992613,3271999.99979807,1813999.99992613,723978,2,43,1.5702105790954,-0.089077874131749
"44",3273999.99979807,1811999.99992613,3275999.99979807,1809999.99992613,728492,2,44,-0.245238809096913,0.556230809643523
"45",3257999.99979807,1853999.99992613,3259999.99979807,1851999.99992613,710423,3,45,-1.71966372431289,0.890173426488057
"46",3259999.99979807,1865999.99992613,3261999.99979807,1863999.99992613,712673,3,46,-0.720087471158894,0.941752071310354
"47",3259999.99979807,1863999.99992613,3261999.99979807,1861999.99992613,712674,3,47,-1.58385542903707,0.928440664019725
